LOG_INF_A,temperature,dew_point_temperature,relative_humidity,wind_speed,sea_level_pressure,wet_bulb_temperature,precipitation,precipitation_24_hour,LOG_PRECIPITATION,LOG_WIND_SPEED,LOG_PRECIPITATION_24_HOUR
7.385,0.676875,0.595,95.125,2.99375,1021.2,0.735,0.0,0.0,0.0,1.3847306391437078,0.0
6.926,0.585,0.0514705882352941,70.97058823529412,3.85,1019.4,0.3752,18.3,18.3,2.9601050959108397,1.5789787049493917,2.9601050959108397
6.521,0.0169696969696969,-0.901818181818182,52.303030303030305,6.984848484848484,1020.0030303030304,-0.2692592592592592,0.0,23.4,0.0,2.077545806514937,3.1945831322991562
6.14,-0.6366666666666667,-1.372,59.0,5.046666666666667,1014.2,-0.8551851851851852,0.0,4.6,0.0,1.799507156018881,1.7227665977411035
5.7,-0.2723076923076923,-0.8907692307692309,66.74358974358974,6.394871794871795,1012.4641025641024,-0.5175,12.9,44.5,2.631888840136646,2.0007867592811475,3.817712325956905
5.529,-0.1226666666666666,-0.8383333333333333,60.96666666666667,5.29,1014.4366666666666,-0.357037037037037,0.0,3.8,0.0,1.8389610707123492,1.5686159179138452
5.236,0.1648387096774193,-0.3961290322580645,68.74193548387096,3.0,1018.4774193548388,-0.0792857142857142,1.9,7.1,1.0647107369924282,1.3862943611198906,2.0918640616783932
4.543,0.1360526315789473,-0.5039473684210526,66.28947368421052,4.734210526315789,1022.0184210526317,-0.0719230769230769,4.8999999999999995,26.9,1.7749523509116736,1.7464500822241884,3.32862668882732
4.19,0.7926923076923077,0.3780769230769231,78.03846153846153,3.446153846153846,1026.873076923077,0.5850000000000001,0.0,2.8,0.0,1.492039418216795,1.33500106673234
3.829,0.7190625,-0.2959375,52.28125,5.784375,1012.7125,0.2855555555555555,0.3,0.3,0.26236426446749106,1.9146221740845195,0.26236426446749106
3.296,0.8963333333333333,0.2643333333333333,68.93333333333334,4.863333333333333,1016.4866666666666,0.6692307692307692,11.7,29.4,2.5416019934645457,1.768718270081357,3.414442608412176
2.708,0.5480645161290322,-0.0677419354838709,67.54838709677419,4.416129032258064,1026.2,0.3522222222222222,7.6,3.3,2.151762203259462,1.689381359598349,1.4586150226995167
2.708,1.020333333333333,0.392,69.76666666666667,4.2,1019.6466666666668,0.7335714285714285,0.0,1.5,0.0,1.6486586255873816,0.9162907318741551
2.833,1.1474193548387095,0.4635483870967741,66.03225806451613,5.103225806451613,1009.383870967742,0.8175,10.2,22.6,2.4159137783010487,1.8088174521326317,3.1612467120315646
2.89,1.079142857142857,0.3408571428571428,64.48571428571428,6.182857142857143,1005.4382352941176,0.7939285714285714,9.9,18.3,2.388762789235098,1.9716972346667334,2.9601050959108397
2.398,0.9876666666666666,0.3053333333333333,66.63333333333334,3.23,1023.7333333333332,0.6811111111111111,3.0,15.7,1.3862943611198906,1.4422019930581866,2.8154087194227095
1.099,0.9645714285714284,0.5122857142857142,76.62857142857143,5.98,1010.2882352941176,0.74,20.2,15.0,3.054001181677967,1.9430489167742813,2.772588722239781
0.693,1.1515151515151516,0.1293939393939394,54.81818181818182,4.433333333333334,1014.9666666666668,0.6939285714285715,0.0,0.0,0.0,1.692552819144607,0.0
0.0,2.059310344827586,1.0955172413793104,57.793103448275865,4.203448275862069,1017.2758620689656,1.5339285714285715,0.3,2.1,0.26236426446749106,1.6493215357873292,1.1314021114911006
0.0,1.8993548387096777,1.0861290322580646,63.516129032258064,4.306451612903226,1009.6290322580644,1.4539285714285717,16.599999999999998,39.4,2.867898902044106,1.6689233657202804,3.6988297849671046
0.0,1.4542857142857142,0.982,77.02857142857142,3.625714285714286,1018.0342857142856,1.190357142857143,29.5,71.1,3.417726683613366,1.5316307991941758,4.278054044290903
0.0,1.6645454545454546,1.0336363636363637,69.45454545454545,3.836363636363636,1008.0666666666666,1.3246428571428572,15.7,31.3,2.8154087194227095,1.5761631235492282,3.475067230228611
0.0,1.9229032258064516,1.4493548387096775,76.45161290322581,3.890322580645161,1013.132258064516,1.6364285714285711,1.1,0.8,0.7419373447293773,1.587258268723125,0.5877866649021191
