ShockVar,ResponseVar,Horizon,Point,Lower,Upper
LOG_RELATIVE_HUMIDITY,LOG_INF_B,0,0.000000,0.000000,0.000000
LOG_RELATIVE_HUMIDITY,LOG_INF_B,1,0.011203,-0.023516,0.041512
LOG_RELATIVE_HUMIDITY,LOG_INF_B,2,-0.002442,-0.040378,0.032280
LOG_RELATIVE_HUMIDITY,LOG_INF_B,3,-0.028758,-0.063705,0.012631
LOG_RELATIVE_HUMIDITY,LOG_INF_B,4,0.001899,-0.037407,0.042454
LOG_RELATIVE_HUMIDITY,LOG_INF_B,5,-0.015447,-0.054821,0.026434
LOG_RELATIVE_HUMIDITY,LOG_INF_B,6,-0.003844,-0.040546,0.038756
LOG_RELATIVE_HUMIDITY,LOG_INF_B,7,-0.004260,-0.039705,0.036602
LOG_RELATIVE_HUMIDITY,LOG_INF_B,8,-0.001664,-0.034536,0.037144
LOG_RELATIVE_HUMIDITY,LOG_INF_B,9,-0.003079,-0.035475,0.032798
LOG_RELATIVE_HUMIDITY,LOG_INF_B,10,-0.003119,-0.033450,0.032670
LOG_RELATIVE_HUMIDITY,LOG_INF_B,11,-0.000544,-0.028581,0.033665
LOG_RELATIVE_HUMIDITY,temperature,0,0.000000,0.000000,0.000000
LOG_RELATIVE_HUMIDITY,temperature,1,-0.002916,-0.006523,0.001314
LOG_RELATIVE_HUMIDITY,temperature,2,0.003524,-0.001154,0.007135
LOG_RELATIVE_HUMIDITY,temperature,3,-0.001296,-0.005794,0.003271
LOG_RELATIVE_HUMIDITY,temperature,4,-0.001317,-0.005726,0.003209
LOG_RELATIVE_HUMIDITY,temperature,5,-0.001037,-0.005836,0.003318
LOG_RELATIVE_HUMIDITY,temperature,6,0.001630,-0.003200,0.005420
LOG_RELATIVE_HUMIDITY,temperature,7,0.000745,-0.003122,0.004316
LOG_RELATIVE_HUMIDITY,temperature,8,-0.000183,-0.003542,0.003276
LOG_RELATIVE_HUMIDITY,temperature,9,-0.001035,-0.004204,0.001807
LOG_RELATIVE_HUMIDITY,temperature,10,-0.001006,-0.004008,0.001787
LOG_RELATIVE_HUMIDITY,temperature,11,-0.000670,-0.003686,0.001958
LOG_RELATIVE_HUMIDITY,dew_point_temperature,0,0.000000,0.000000,0.000000
LOG_RELATIVE_HUMIDITY,dew_point_temperature,1,0.001340,-0.001366,0.003509
LOG_RELATIVE_HUMIDITY,dew_point_temperature,2,0.004706,0.001654,0.007174
LOG_RELATIVE_HUMIDITY,dew_point_temperature,3,0.002081,-0.000917,0.004384
LOG_RELATIVE_HUMIDITY,dew_point_temperature,4,0.000173,-0.002891,0.003142
LOG_RELATIVE_HUMIDITY,dew_point_temperature,5,0.002135,-0.001221,0.004931
LOG_RELATIVE_HUMIDITY,dew_point_temperature,6,0.003245,0.000085,0.006050
LOG_RELATIVE_HUMIDITY,dew_point_temperature,7,0.002618,-0.000070,0.005249
LOG_RELATIVE_HUMIDITY,dew_point_temperature,8,0.002589,-0.000175,0.004797
LOG_RELATIVE_HUMIDITY,dew_point_temperature,9,0.001950,-0.000770,0.003995
LOG_RELATIVE_HUMIDITY,dew_point_temperature,10,0.002222,-0.000195,0.004279
LOG_RELATIVE_HUMIDITY,dew_point_temperature,11,0.001834,-0.000598,0.003821
LOG_RELATIVE_HUMIDITY,relative_humidity,0,0.000000,0.000000,0.000000
LOG_RELATIVE_HUMIDITY,relative_humidity,1,0.191021,-0.009608,0.364830
LOG_RELATIVE_HUMIDITY,relative_humidity,2,0.065818,-0.125553,0.263824
LOG_RELATIVE_HUMIDITY,relative_humidity,3,0.171200,-0.043564,0.369528
LOG_RELATIVE_HUMIDITY,relative_humidity,4,0.083804,-0.114301,0.282285
LOG_RELATIVE_HUMIDITY,relative_humidity,5,0.157201,-0.067936,0.386205
LOG_RELATIVE_HUMIDITY,relative_humidity,6,0.086997,-0.092930,0.285659
LOG_RELATIVE_HUMIDITY,relative_humidity,7,0.090150,-0.082402,0.240086
LOG_RELATIVE_HUMIDITY,relative_humidity,8,0.129314,-0.030283,0.247860
LOG_RELATIVE_HUMIDITY,relative_humidity,9,0.139017,0.001891,0.255583
LOG_RELATIVE_HUMIDITY,relative_humidity,10,0.150519,0.025289,0.253226
LOG_RELATIVE_HUMIDITY,relative_humidity,11,0.115645,-0.013268,0.212161
LOG_RELATIVE_HUMIDITY,wind_speed,0,0.000000,0.000000,0.000000
LOG_RELATIVE_HUMIDITY,wind_speed,1,-0.016739,-0.045716,0.014326
LOG_RELATIVE_HUMIDITY,wind_speed,2,-0.002746,-0.035139,0.029721
LOG_RELATIVE_HUMIDITY,wind_speed,3,-0.025145,-0.057250,0.009624
LOG_RELATIVE_HUMIDITY,wind_speed,4,-0.023541,-0.058113,0.010447
LOG_RELATIVE_HUMIDITY,wind_speed,5,-0.037824,-0.073382,0.002006
LOG_RELATIVE_HUMIDITY,wind_speed,6,0.002668,-0.034171,0.035751
LOG_RELATIVE_HUMIDITY,wind_speed,7,0.000635,-0.030880,0.032830
LOG_RELATIVE_HUMIDITY,wind_speed,8,0.000334,-0.026829,0.030284
LOG_RELATIVE_HUMIDITY,wind_speed,9,0.001950,-0.025111,0.030257
LOG_RELATIVE_HUMIDITY,wind_speed,10,-0.002096,-0.027771,0.025721
LOG_RELATIVE_HUMIDITY,wind_speed,11,0.004167,-0.018699,0.028223
LOG_RELATIVE_HUMIDITY,sea_level_pressure,0,0.000000,0.000000,0.000000
LOG_RELATIVE_HUMIDITY,sea_level_pressure,1,0.042103,-0.012517,0.096927
LOG_RELATIVE_HUMIDITY,sea_level_pressure,2,-0.047124,-0.107189,0.020182
LOG_RELATIVE_HUMIDITY,sea_level_pressure,3,-0.035836,-0.097813,0.030389
LOG_RELATIVE_HUMIDITY,sea_level_pressure,4,-0.092316,-0.156293,-0.024433
LOG_RELATIVE_HUMIDITY,sea_level_pressure,5,-0.080034,-0.140031,-0.010726
LOG_RELATIVE_HUMIDITY,sea_level_pressure,6,-0.010497,-0.066026,0.054319
LOG_RELATIVE_HUMIDITY,sea_level_pressure,7,-0.004479,-0.049301,0.051346
LOG_RELATIVE_HUMIDITY,sea_level_pressure,8,-0.007459,-0.048984,0.034487
LOG_RELATIVE_HUMIDITY,sea_level_pressure,9,-0.013031,-0.052560,0.029859
LOG_RELATIVE_HUMIDITY,sea_level_pressure,10,-0.029380,-0.062848,0.013018
LOG_RELATIVE_HUMIDITY,sea_level_pressure,11,-0.027138,-0.056555,0.008222
LOG_RELATIVE_HUMIDITY,visibility,0,0.000000,0.000000,0.000000
LOG_RELATIVE_HUMIDITY,visibility,1,0.016531,-0.024689,0.056246
LOG_RELATIVE_HUMIDITY,visibility,2,0.016034,-0.024185,0.059259
LOG_RELATIVE_HUMIDITY,visibility,3,-0.031564,-0.072995,0.014623
LOG_RELATIVE_HUMIDITY,visibility,4,-0.001534,-0.048396,0.040910
LOG_RELATIVE_HUMIDITY,visibility,5,-0.005747,-0.049100,0.042429
LOG_RELATIVE_HUMIDITY,visibility,6,0.016928,-0.022270,0.059468
LOG_RELATIVE_HUMIDITY,visibility,7,0.023063,-0.011958,0.057638
LOG_RELATIVE_HUMIDITY,visibility,8,0.021158,-0.014206,0.051941
LOG_RELATIVE_HUMIDITY,visibility,9,0.020142,-0.009772,0.048265
LOG_RELATIVE_HUMIDITY,visibility,10,0.010857,-0.018334,0.036161
LOG_RELATIVE_HUMIDITY,visibility,11,0.009914,-0.019345,0.035031
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,0,0.000000,0.000000,0.000000
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,1,-0.000201,-0.002410,0.001898
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,2,0.003738,0.001048,0.005915
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,3,0.000710,-0.001858,0.002963
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,4,-0.000625,-0.003405,0.001990
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,5,0.000793,-0.002190,0.003367
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,6,0.002176,-0.000863,0.004672
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,7,0.001470,-0.001170,0.004068
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,8,0.001316,-0.001154,0.003522
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,9,0.000624,-0.001832,0.002831
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,10,0.000769,-0.001608,0.002732
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,11,0.000644,-0.001729,0.002608
LOG_RELATIVE_HUMIDITY,precipitation,0,0.000000,0.000000,0.000000
LOG_RELATIVE_HUMIDITY,precipitation,1,-0.009989,-1.110256,0.936828
LOG_RELATIVE_HUMIDITY,precipitation,2,0.391850,-0.629217,1.295460
LOG_RELATIVE_HUMIDITY,precipitation,3,0.087776,-0.968013,1.129922
LOG_RELATIVE_HUMIDITY,precipitation,4,-0.096794,-1.109468,0.856843
LOG_RELATIVE_HUMIDITY,precipitation,5,0.730900,-0.324696,1.650349
LOG_RELATIVE_HUMIDITY,precipitation,6,0.055326,-0.874404,0.944307
LOG_RELATIVE_HUMIDITY,precipitation,7,-0.000938,-0.623067,0.602919
LOG_RELATIVE_HUMIDITY,precipitation,8,-0.019414,-0.528106,0.462559
LOG_RELATIVE_HUMIDITY,precipitation,9,0.065992,-0.429049,0.557526
LOG_RELATIVE_HUMIDITY,precipitation,10,-0.052682,-0.533949,0.397610
LOG_RELATIVE_HUMIDITY,precipitation,11,0.144225,-0.247576,0.525287
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,0,0.000000,0.000000,0.000000
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,1,1.936887,-0.892898,4.817912
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,2,1.892807,-0.970550,4.552777
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,3,2.526111,-0.641515,5.411052
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,4,-1.813638,-4.943322,1.254949
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,5,0.402076,-2.980900,3.341821
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,6,2.224031,-0.512008,4.845551
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,7,-0.124031,-1.698361,1.627613
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,8,-0.339697,-1.773819,0.935229
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,9,0.777221,-0.564547,2.043441
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,10,0.429059,-0.713670,1.381987
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,11,0.668616,-0.343854,1.533292
LOG_RELATIVE_HUMIDITY,LOG_PRECIPITATION,0,0.000000,0.000000,0.000000
LOG_RELATIVE_HUMIDITY,LOG_PRECIPITATION,1,-0.005507,-0.043380,0.033137
