LOG_INF_B,temperature,dew_point_temperature,relative_humidity,wind_speed,sea_level_pressure,visibility,wet_bulb_temperature,precipitation,precipitation_24_hour,LOG_PRECIPITATION,LOG_WIND_SPEED,LOG_SEA_LEVEL_PRESSURE
2.590268,2.705329,1.574701,53.774402,2.823536,1016.304212,9.922511,1.987233,0.000000,1.582408,0.000000,1.353055,6.924907
2.422852,2.613741,1.616973,57.799315,3.260347,1017.228811,9.983103,1.963681,0.000000,3.632946,0.000000,1.450116,6.925821
2.583679,2.488772,1.599955,60.392066,3.588730,1017.417017,9.798755,1.929797,0.000000,-0.018844,0.000000,1.507724,6.926003
2.582508,2.375109,1.455225,59.040732,3.451167,1017.515756,9.902155,1.805976,0.000000,0.591662,0.000000,1.482953,6.926099
2.497396,2.342572,1.374132,58.274193,3.659348,1017.337812,9.787633,1.778034,0.000000,0.375343,0.000000,1.530137,6.925919
2.601350,2.294866,1.314699,57.775674,3.873709,1017.544012,9.632242,1.722854,0.000000,2.454510,0.000000,1.564362,6.926117
2.505778,2.237461,1.294263,59.348551,3.798883,1017.706614,9.483690,1.705297,0.000000,1.590720,0.000000,1.550437,6.926279
2.501273,2.187668,1.305897,60.682707,3.659830,1017.668450,9.443203,1.696107,0.000000,1.131547,0.000000,1.524020,6.926242
2.476546,2.181497,1.308587,60.746263,3.636776,1017.443294,9.346679,1.694064,0.000000,1.129708,0.000000,1.520570,6.926019
2.438155,2.186491,1.284603,59.942100,3.708066,1017.075504,9.370782,1.685707,0.000000,1.001500,0.000000,1.535843,6.925656
