CauseVar,EffectVar,FStatistic,PValue,Lags,Significant
LOG_INF_B,temperature,1.420149,0.204151,6,false
LOG_INF_B,dew_point_temperature,0.239611,0.963359,6,false
LOG_INF_B,relative_humidity,0.578798,0.747412,6,false
LOG_INF_B,wind_speed,0.444134,0.849286,6,false
LOG_INF_B,sea_level_pressure,0.509846,0.801134,6,false
LOG_INF_B,visibility,1.897288,0.078881,6,false
LOG_INF_B,wet_bulb_temperature,0.397386,0.880883,6,false
LOG_INF_B,precipitation,0.000000,1.000000,6,false
LOG_INF_B,precipitation_24_hour,0.523936,0.790368,6,false
LOG_INF_B,LOG_PRECIPITATION,0.000000,1.000000,6,false
LOG_INF_B,LOG_WIND_SPEED,0.569213,0.755015,6,false
LOG_INF_B,LOG_SEA_LEVEL_PRESSURE,0.510871,0.800354,6,false
temperature,LOG_INF_B,0.518558,0.794493,6,false
temperature,dew_point_temperature,1.231143,0.288080,6,false
temperature,relative_humidity,2.139290,0.047105,6,true
temperature,wind_speed,3.808980,0.000963,6,true
temperature,sea_level_pressure,2.450945,0.023669,6,true
temperature,visibility,1.511844,0.171454,6,false
temperature,wet_bulb_temperature,2.523541,0.020097,6,true
temperature,precipitation,0.000000,1.000000,6,false
temperature,precipitation_24_hour,0.340036,0.915692,6,false
temperature,LOG_PRECIPITATION,0.000000,1.000000,6,false
temperature,LOG_WIND_SPEED,3.523973,0.001923,6,true
temperature,LOG_SEA_LEVEL_PRESSURE,2.443289,0.024080,6,true
dew_point_temperature,LOG_INF_B,0.939651,0.465739,6,false
dew_point_temperature,temperature,5.107378,0.000038,6,true
dew_point_temperature,relative_humidity,2.541736,0.019286,6,true
dew_point_temperature,wind_speed,0.853085,0.529231,6,false
dew_point_temperature,sea_level_pressure,0.849376,0.532041,6,false
dew_point_temperature,visibility,0.674608,0.670248,6,false
dew_point_temperature,wet_bulb_temperature,2.380733,0.027696,6,true
dew_point_temperature,precipitation,0.000000,1.000000,6,false
dew_point_temperature,precipitation_24_hour,0.300075,0.936870,6,false
dew_point_temperature,LOG_PRECIPITATION,0.000000,1.000000,6,false
dew_point_temperature,LOG_WIND_SPEED,0.749936,0.609608,6,false
dew_point_temperature,LOG_SEA_LEVEL_PRESSURE,0.869378,0.516964,6,false
relative_humidity,LOG_INF_B,0.810450,0.561934,6,false
relative_humidity,temperature,4.571430,0.000146,6,true
relative_humidity,dew_point_temperature,3.136006,0.004861,6,true
relative_humidity,wind_speed,1.883764,0.081141,6,false
relative_humidity,sea_level_pressure,0.873006,0.514252,6,false
relative_humidity,visibility,0.571946,0.752851,6,false
relative_humidity,wet_bulb_temperature,5.399547,0.000018,6,true
relative_humidity,precipitation,0.000000,1.000000,6,false
relative_humidity,precipitation_24_hour,0.348311,0.910974,6,false
relative_humidity,LOG_PRECIPITATION,0.000000,1.000000,6,false
relative_humidity,LOG_WIND_SPEED,1.715307,0.114694,6,false
relative_humidity,LOG_SEA_LEVEL_PRESSURE,0.882587,0.507122,6,false
wind_speed,LOG_INF_B,2.294601,0.033531,6,true
wind_speed,temperature,3.270923,0.003528,6,true
wind_speed,dew_point_temperature,1.207028,0.300518,6,false
wind_speed,relative_humidity,1.459944,0.189362,6,false
wind_speed,sea_level_pressure,0.699449,0.650159,6,false
wind_speed,visibility,2.012499,0.061856,6,false
wind_speed,wet_bulb_temperature,0.601851,0.728998,6,false
wind_speed,precipitation,0.000000,1.000000,6,false
wind_speed,precipitation_24_hour,0.401882,0.877959,6,false
wind_speed,LOG_PRECIPITATION,0.000000,1.000000,6,false
wind_speed,LOG_WIND_SPEED,0.910559,0.486598,6,false
wind_speed,LOG_SEA_LEVEL_PRESSURE,0.695180,0.653608,6,false
sea_level_pressure,LOG_INF_B,1.490069,0.178782,6,false
sea_level_pressure,temperature,2.171429,0.043929,6,true
sea_level_pressure,dew_point_temperature,7.232094,0.000000,6,true
sea_level_pressure,relative_humidity,8.223880,0.000000,6,true
sea_level_pressure,wind_speed,2.121631,0.048941,6,true
sea_level_pressure,visibility,2.480224,0.022161,6,true
sea_level_pressure,wet_bulb_temperature,4.690733,0.000109,6,true
sea_level_pressure,precipitation,0.000000,1.000000,6,false
sea_level_pressure,precipitation_24_hour,0.984653,0.434510,6,false
sea_level_pressure,LOG_PRECIPITATION,0.000000,1.000000,6,false
sea_level_pressure,LOG_WIND_SPEED,1.842988,0.088318,6,false
sea_level_pressure,LOG_SEA_LEVEL_PRESSURE,8.727471,0.000000,6,true
visibility,LOG_INF_B,0.783013,0.583391,6,false
visibility,temperature,1.574036,0.151937,6,false
visibility,dew_point_temperature,0.998717,0.425020,6,false
visibility,relative_humidity,0.913704,0.484319,6,false
visibility,wind_speed,0.925193,0.476042,6,false
visibility,sea_level_pressure,0.825051,0.550641,6,false
visibility,wet_bulb_temperature,1.301963,0.253870,6,false
visibility,precipitation,0.000000,1.000000,6,false
visibility,precipitation_24_hour,0.291730,0.940938,6,false
visibility,LOG_PRECIPITATION,0.000000,1.000000,6,false
visibility,LOG_WIND_SPEED,0.938918,0.466258,6,false
visibility,LOG_SEA_LEVEL_PRESSURE,0.825957,0.549943,6,false
wet_bulb_temperature,LOG_INF_B,0.775815,0.589066,6,false
wet_bulb_temperature,temperature,2.431059,0.024749,6,true
wet_bulb_temperature,dew_point_temperature,1.835013,0.089788,6,false
wet_bulb_temperature,relative_humidity,1.268328,0.269691,6,false
wet_bulb_temperature,wind_speed,0.233732,0.965552,6,false
wet_bulb_temperature,sea_level_pressure,1.362771,0.227175,6,false
wet_bulb_temperature,visibility,0.659507,0.682474,6,false
wet_bulb_temperature,precipitation,0.000000,1.000000,6,false
wet_bulb_temperature,precipitation_24_hour,0.181283,0.981970,6,false
wet_bulb_temperature,LOG_PRECIPITATION,0.000000,1.000000,6,false
wet_bulb_temperature,LOG_WIND_SPEED,0.159121,0.987196,6,false
wet_bulb_temperature,LOG_SEA_LEVEL_PRESSURE,1.373374,0.222765,6,false
precipitation,LOG_INF_B,0.000000,1.000000,6,false
precipitation,temperature,0.000000,1.000000,6,false
precipitation,dew_point_temperature,0.000000,1.000000,6,false
precipitation,relative_humidity,0.000000,1.000000,6,false
precipitation,wind_speed,0.000000,1.000000,6,false
precipitation,sea_level_pressure,0.000000,1.000000,6,false
precipitation,visibility,0.000000,1.000000,6,false
precipitation,wet_bulb_temperature,0.000000,1.000000,6,false
precipitation,precipitation_24_hour,0.000000,1.000000,6,false
precipitation,LOG_PRECIPITATION,0.000000,1.000000,6,false
precipitation,LOG_WIND_SPEED,0.000000,1.000000,6,false
precipitation,LOG_SEA_LEVEL_PRESSURE,0.000000,1.000000,6,false
precipitation_24_hour,LOG_INF_B,1.686974,0.121434,6,false
precipitation_24_hour,temperature,0.178301,0.982732,6,false
precipitation_24_hour,dew_point_temperature,1.467516,0.186654,6,false
precipitation_24_hour,relative_humidity,1.518653,0.169216,6,false
precipitation_24_hour,wind_speed,1.183035,0.313298,6,false
precipitation_24_hour,sea_level_pressure,1.661232,0.127861,6,false
precipitation_24_hour,visibility,0.910330,0.486765,6,false
precipitation_24_hour,wet_bulb_temperature,1.087467,0.368246,6,false
precipitation_24_hour,precipitation,0.000000,1.000000,6,false
precipitation_24_hour,LOG_PRECIPITATION,0.000000,1.000000,6,false
precipitation_24_hour,LOG_WIND_SPEED,1.119466,0.349127,6,false
precipitation_24_hour,LOG_SEA_LEVEL_PRESSURE,1.648158,0.131241,6,false
LOG_PRECIPITATION,LOG_INF_B,0.000000,1.000000,6,false
LOG_PRECIPITATION,temperature,0.000000,1.000000,6,false
LOG_PRECIPITATION,dew_point_temperature,0.000000,1.000000,6,false
LOG_PRECIPITATION,relative_humidity,0.000000,1.000000,6,false
LOG_PRECIPITATION,wind_speed,0.000000,1.000000,6,false
LOG_PRECIPITATION,sea_level_pressure,0.000000,1.000000,6,false
LOG_PRECIPITATION,visibility,0.000000,1.000000,6,false
LOG_PRECIPITATION,wet_bulb_temperature,0.000000,1.000000,6,false
LOG_PRECIPITATION,precipitation,0.000000,1.000000,6,false
LOG_PRECIPITATION,precipitation_24_hour,0.000000,1.000000,6,false
