Horizon,Shock_LOG_SEA_LEVEL_PRESSURE,Shock_temperature,Shock_relative_humidity,Shock_wind_speed,Shock_precipitation,Shock_LOG_PRECIPITATION,Shock_LOG_WIND_SPEED,Shock_LOG_INF_B,Shock_dew_point_temperature,Shock_sea_level_pressure,Shock_visibility,Shock_wet_bulb_temperature,Shock_precipitation_24_hour
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
1,-0.375383,-1.342322,-0.010068,-0.010092,-0.001077,1369.538484,0.187367,0.011015,0.349842,-0.000001,-0.000001,-1.809179,0.472310
2,0.000678,2298.030598,-0.017448,0.017156,-0.346246,-0.000000,-0.000000,1.365905,0.611097,-0.734498,-2.267651,-0.013472,0.073503
3,-0.000000,-0.265007,0.519851,-0.648334,-3.567432,0.022402,0.464505,-0.002346,3611.836417,0.028047,0.012705,0.006604,-0.000000
4,-3.964299,-0.021469,0.101510,0.000819,4007.507863,-0.365225,0.007501,0.110347,0.000000,0.000000,-0.838023,0.568698,-0.397910
5,0.077473,0.002820,6643.750034,-0.354606,-0.002831,-0.106760,0.000000,0.000000,0.253732,0.602721,-0.163610,-6.585568,-0.034588
6,0.111861,0.019220,0.149572,0.000001,0.000001,-1.030162,0.504208,-0.599097,-3.125049,-0.047264,0.166111,-0.003143,3182.523925
7,4272.441938,-0.175770,0.010499,-0.039366,0.000001,0.000001,-0.083671,0.535717,-0.394259,-4.213653,-0.040671,0.138726,-0.000742
8,-0.041749,0.052497,-0.000913,3859.572865,-0.027125,0.010289,0.009055,0.000001,0.000001,-0.326195,0.492678,-0.278023,-3.797810
9,-0.169384,0.000066,3649.706129,-0.158370,0.005727,0.016400,0.000001,0.000001,-0.359150,0.500064,-0.064014,-3.592969,-0.042722
10,0.466888,-0.145755,-2.167752,-0.048967,-0.123529,-0.000806,2211.920976,0.004225,0.009929,0.004353,0.000001,0.000001,-0.255742
11,0.453849,-0.098427,-1.689929,-0.048394,-0.291787,-0.000765,1729.640256,0.077099,0.011837,0.072509,0.000000,0.000001,-0.580596
