,NaN_count,NaN_fraction
wind_gust,682,0.5048112509252406
visibility,589,0.4359733530717987
altimeter,545,0.40340488527017027
iso_weekstartdate,0,0.0
precipitation_3_hour,0,0.0
Longitude,0,0.0
Latitude,0,0.0
Station_name,0,0.0
Station_ID,0,0.0
precipitation_24_hour,0,0.0
precipitation_21_hour,0,0.0
precipitation_18_hour,0,0.0
precipitation_15_hour,0,0.0
precipitation_12_hour,0,0.0
precipitation_9_hour,0,0.0
precipitation_6_hour,0,0.0
pressure_3hr_change,0,0.0
precipitation,0,0.0
iso_year,0,0.0
wet_bulb_temperature,0,0.0
station_level_pressure,0,0.0
sea_level_pressure,0,0.0
wind_direction,0,0.0
wind_speed,0,0.0
relative_humidity,0,0.0
dew_point_temperature,0,0.0
temperature,0,0.0
isoyw,0,0.0
iso_week,0,0.0
Elevation,0,0.0
